"OrderNumber";"OrderDate";"OrderStatus";"CustomerFirstName";"CustomerLastName";"CustomerEmail";"CategoryName";"ProductName";"SKU";"Quantity";"UnitPrice";"Discount";"LineTotal";"ShippingTotal";"GrandTotal"
"ORD-11054";"2008-04-28 07:00:00";"processing";"Mike";"Ray";"mike.ray@example.com";"Beverages";"Product XLXQF";"SKU-0067";"20";"14.00";"0.000";"280.00";"0.33";"305.33"
"ORD-11055";"2008-04-28 07:00:00";"delivered";"Kris";"Langohr";"kris.langohr@example.com";"Confections";"Product LYLNI";"SKU-0025";"15";"14.00";"0.000";"210.00";"120.92";"1848.42"
"ORD-11056";"2008-04-28 07:00:00";"delivered";"Randall";"Boseman";"randall.boseman@example.com";"Meat/Poultry";"Product YYWRT";"SKU-0055";"35";"24.00";"0.000";"840.00";"278.96";"4018.96"
"ORD-11055";"2008-04-28 07:00:00";"delivered";"Kris";"Langohr";"kris.langohr@example.com";"Produce";"Product APITJ";"SKU-0051";"20";"53.00";"0.000";"1060.00";"120.92";"1848.42"
"ORD-11055";"2008-04-28 07:00:00";"delivered";"Kris";"Langohr";"kris.langohr@example.com";"Beverages";"Product QOGNU";"SKU-0024";"15";"4.50";"0.000";"67.50";"120.92";"1848.42"
"ORD-11056";"2008-04-28 07:00:00";"delivered";"Randall";"Boseman";"randall.boseman@example.com";"Produce";"Product HMLNI";"SKU-0007";"40";"30.00";"0.000";"1200.00";"278.96";"4018.96"
"ORD-11055";"2008-04-28 07:00:00";"delivered";"Kris";"Langohr";"kris.langohr@example.com";"Grains/Cereals";"Product OVLQI";"SKU-0057";"20";"19.50";"0.000";"390.00";"120.92";"1848.42"
"ORD-11053";"2008-04-27 07:00:00";"delivered";"Tosh";"Meston";"tosh.meston@example.com";"Seafood";"Product CKEDC";"SKU-0018";"35";"62.50";"0.200";"1750.00";"53.05";"3108.05"
"ORD-11052";"2008-04-27 07:00:00";"delivered";"Shy";"Cohen";"shy.cohen@example.com";"Condiments";"Product XYZPE";"SKU-0061";"10";"28.50";"0.200";"228.00";"67.26";"1399.26"
"ORD-11051";"2008-04-27 07:00:00";"processing";"Tim";"Litton";"tim.litton@example.com";"Beverages";"Product QOGNU";"SKU-0024";"10";"4.50";"0.200";"36.00";"2.79";"38.79"
"ORD-11053";"2008-04-27 07:00:00";"delivered";"Tosh";"Meston";"tosh.meston@example.com";"Grains/Cereals";"Product HCQDE";"SKU-0064";"25";"33.25";"0.200";"665.00";"53.05";"3108.05"
"ORD-11050";"2008-04-27 07:00:00";"delivered";"Patricia";"San Juan";"patricia.sanjuan@example.com";"Beverages";"Product JYGFE";"SKU-0076";"50";"18.00";"0.100";"810.00";"59.41";"869.41"
"ORD-11052";"2008-04-27 07:00:00";"delivered";"Shy";"Cohen";"shy.cohen@example.com";"Beverages";"Product ZZZHR";"SKU-0043";"30";"46.00";"0.200";"1104.00";"67.26";"1399.26"
"ORD-11053";"2008-04-27 07:00:00";"delivered";"Tosh";"Meston";"tosh.meston@example.com";"Dairy Product";"Product NUNAW";"SKU-0032";"20";"32.00";"0.000";"640.00";"53.05";"3108.05"
"ORD-11049";"2008-04-24 07:00:00";"delivered";"Yao-Qiang";"Cheng";"yaoqiang.cheng@example.com";"Beverages";"Product RECZE";"SKU-0002";"10";"19.00";"0.200";"152.00";"8.34";"281.94"
"ORD-11049";"2008-04-24 07:00:00";"delivered";"Yao-Qiang";"Cheng";"yaoqiang.cheng@example.com";"Dairy Product";"Product OSFNS";"SKU-0012";"4";"38.00";"0.200";"121.60";"8.34";"281.94"
"ORD-11048";"2008-04-24 07:00:00";"delivered";"Pilar Colome";"Bassols";"pilarcolome.bassols@example.com";"Confections";"Product TBTBL";"SKU-0068";"42";"12.50";"0.000";"525.00";"24.12";"549.12"
"ORD-11047";"2008-04-24 07:00:00";"delivered";"Randall";"Boseman";"randall.boseman@example.com";"Beverages";"Product HHYDP";"SKU-0001";"25";"18.00";"0.250";"337.50";"46.62";"864.50"
"ORD-11047";"2008-04-24 07:00:00";"delivered";"Randall";"Boseman";"randall.boseman@example.com";"Condiments";"Product EPEIM";"SKU-0005";"30";"21.35";"0.250";"480.38";"46.62";"864.50"
"ORD-11045";"2008-04-23 07:00:00";"processing";"Pilar Colome";"Bassols";"pilarcolome.bassols@example.com";"Dairy Product";"Product ASTMN";"SKU-0033";"15";"2.50";"0.000";"37.50";"70.58";"1380.08"
"ORD-11046";"2008-04-23 07:00:00";"delivered";"Manoj";"Syamala";"manoj.syamala@example.com";"Dairy Product";"Product OSFNS";"SKU-0012";"20";"38.00";"0.050";"722.00";"71.64";"1557.44"
"ORD-11046";"2008-04-23 07:00:00";"delivered";"Manoj";"Syamala";"manoj.syamala@example.com";"Beverages";"Product NEVTJ";"SKU-0035";"18";"18.00";"0.050";"307.80";"71.64";"1557.44"
"ORD-11045";"2008-04-23 07:00:00";"processing";"Pilar Colome";"Bassols";"pilarcolome.bassols@example.com";"Produce";"Product APITJ";"SKU-0051";"24";"53.00";"0.000";"1272.00";"70.58";"1380.08"
"ORD-11044";"2008-04-23 07:00:00";"delivered";"Steve";"Conn";"steve.conn@example.com";"Confections";"Product WUXYK";"SKU-0062";"12";"49.30";"0.000";"591.60";"8.72";"600.32"
"ORD-11046";"2008-04-23 07:00:00";"delivered";"Manoj";"Syamala";"manoj.syamala@example.com";"Dairy Product";"Product NUNAW";"SKU-0032";"15";"32.00";"0.050";"456.00";"71.64";"1557.44"
"ORD-11042";"2008-04-22 07:00:00";"delivered";"Shawn";"Richardson";"shawn.richardson@example.com";"Condiments";"Product XYZPE";"SKU-0061";"4";"28.50";"0.000";"114.00";"29.99";"435.74"
"ORD-11043";"2008-04-22 07:00:00";"delivered";"Dave";"O’Brien";"dave.obrien@example.com";"Dairy Product";"Product QMVUN";"SKU-0011";"10";"21.00";"0.000";"210.00";"8.80";"218.80"
"ORD-11041";"2008-04-22 07:00:00";"delivered";"Jacek";"Jelitto";"jacek.jelitto@example.com";"Condiments";"Product ICKNK";"SKU-0063";"30";"43.90";"0.000";"1317.00";"48.22";"1821.22"
"ORD-11040";"2008-04-22 07:00:00";"processing";"Venky";"Krishnan";"venky.krishnan@example.com";"Confections";"Product VJZZH";"SKU-0021";"20";"10.00";"0.000";"200.00";"18.84";"218.84"
"ORD-11041";"2008-04-22 07:00:00";"delivered";"Jacek";"Jelitto";"jacek.jelitto@example.com";"Beverages";"Product RECZE";"SKU-0002";"30";"19.00";"0.200";"456.00";"48.22";"1821.22"
"ORD-11042";"2008-04-22 07:00:00";"delivered";"Shawn";"Richardson";"shawn.richardson@example.com";"Condiments";"Product VJIEO";"SKU-0044";"15";"19.45";"0.000";"291.75";"29.99";"435.74"
"ORD-11039";"2008-04-21 07:00:00";"pending";"Cornel";"Lupu";"cornel.lupu@example.com";"Beverages";"Product NEVTJ";"SKU-0035";"24";"18.00";"0.000";"432.00";"65.00";"3155.00"
"ORD-11037";"2008-04-21 07:00:00";"delivered";"Rostislav";"Shabalin";"rostislav.shabalin@example.com";"Beverages";"Product TOONT";"SKU-0070";"4";"15.00";"0.000";"60.00";"3.20";"63.20"
"ORD-11039";"2008-04-21 07:00:00";"pending";"Cornel";"Lupu";"cornel.lupu@example.com";"Produce";"Product OFBNT";"SKU-0028";"20";"45.60";"0.000";"912.00";"65.00";"3155.00"
"ORD-11039";"2008-04-21 07:00:00";"pending";"Cornel";"Lupu";"cornel.lupu@example.com";"Confections";"Product FPYPN";"SKU-0049";"60";"20.00";"0.000";"1200.00";"65.00";"3155.00"
"ORD-11039";"2008-04-21 07:00:00";"pending";"Cornel";"Lupu";"cornel.lupu@example.com";"Grains/Cereals";"Product OVLQI";"SKU-0057";"28";"19.50";"0.000";"546.00";"65.00";"3155.00"
"ORD-11038";"2008-04-21 07:00:00";"delivered";"Katrin";"Gulbis";"katrin.gulbis@example.com";"Dairy Product";"Product MYMOI";"SKU-0071";"30";"21.50";"0.000";"645.00";"29.59";"762.19"
"ORD-11038";"2008-04-21 07:00:00";"delivered";"Katrin";"Gulbis";"katrin.gulbis@example.com";"Seafood";"Product YZIXQ";"SKU-0040";"5";"18.40";"0.200";"73.60";"29.59";"762.19"
"ORD-11038";"2008-04-21 07:00:00";"delivered";"Katrin";"Gulbis";"katrin.gulbis@example.com";"Grains/Cereals";"Product QSRXF";"SKU-0052";"2";"7.00";"0.000";"14.00";"29.59";"762.19"
"ORD-11036";"2008-04-20 07:00:00";"delivered";"TiAnna";"Jones";"tianna.jones@example.com";"Dairy Product";"Product UKXRI";"SKU-0059";"30";"55.00";"0.000";"1650.00";"149.47";"1841.47"
"ORD-11034";"2008-04-20 07:00:00";"delivered";"Anja";"Egelund-Muller";"anja.egelundmuller@example.com";"Condiments";"Product XYZPE";"SKU-0061";"6";"28.50";"0.000";"171.00";"40.32";"579.72"
"ORD-11035";"2008-04-20 07:00:00";"delivered";"Katrin";"Gulbis";"katrin.gulbis@example.com";"Meat/Poultry";"Product QAQRL";"SKU-0054";"10";"7.45";"0.000";"74.50";"0.17";"1754.67"
"ORD-11035";"2008-04-20 07:00:00";"delivered";"Katrin";"Gulbis";"katrin.gulbis@example.com";"Grains/Cereals";"Product RJVNM";"SKU-0042";"30";"14.00";"0.000";"420.00";"0.17";"1754.67"
"ORD-11035";"2008-04-20 07:00:00";"delivered";"Katrin";"Gulbis";"katrin.gulbis@example.com";"Beverages";"Product HHYDP";"SKU-0001";"10";"18.00";"0.000";"180.00";"0.17";"1754.67"
"ORD-11034";"2008-04-20 07:00:00";"delivered";"Anja";"Egelund-Muller";"anja.egelundmuller@example.com";"Confections";"Product VJZZH";"SKU-0021";"15";"10.00";"0.100";"135.00";"40.32";"579.72"
"ORD-11034";"2008-04-20 07:00:00";"delivered";"Anja";"Egelund-Muller";"anja.egelundmuller@example.com";"Condiments";"Product VJIEO";"SKU-0044";"12";"19.45";"0.000";"233.40";"40.32";"579.72"
"ORD-11035";"2008-04-20 07:00:00";"delivered";"Katrin";"Gulbis";"katrin.gulbis@example.com";"Beverages";"Product NEVTJ";"SKU-0035";"60";"18.00";"0.000";"1080.00";"0.17";"1754.67"
"ORD-11036";"2008-04-20 07:00:00";"delivered";"TiAnna";"Jones";"tianna.jones@example.com";"Seafood";"Product POXFU";"SKU-0013";"7";"6.00";"0.000";"42.00";"149.47";"1841.47"
"ORD-11032";"2008-04-17 07:00:00";"delivered";"Ronaldo";"Smith Jr.";"ronaldo.smithjr@example.com";"Beverages";"Product QDOMO";"SKU-0038";"25";"263.50";"0.000";"6587.50";"606.19";"9508.69"
"ORD-11032";"2008-04-17 07:00:00";"delivered";"Ronaldo";"Smith Jr.";"ronaldo.smithjr@example.com";"Seafood";"Product GMKIJ";"SKU-0036";"35";"19.00";"0.000";"665.00";"606.19";"9508.69"
"ORD-11031";"2008-04-17 07:00:00";"delivered";"Tomás";"Navarro";"tomas.navarro@example.com";"Beverages";"Product QOGNU";"SKU-0024";"21";"4.50";"0.000";"94.50";"227.22";"2620.72"
"ORD-11033";"2008-04-17 07:00:00";"delivered";"Jacek";"Myrcha";"jacek.myrcha@example.com";"Dairy Product";"Product COAXA";"SKU-0069";"36";"36.00";"0.100";"1166.40";"84.74";"3317.54"
"ORD-11031";"2008-04-17 07:00:00";"delivered";"Tomás";"Navarro";"tomas.navarro@example.com";"Beverages";"Product HHYDP";"SKU-0001";"45";"18.00";"0.000";"810.00";"227.22";"2620.72"
"ORD-11031";"2008-04-17 07:00:00";"delivered";"Tomás";"Navarro";"tomas.navarro@example.com";"Grains/Cereals";"Product HCQDE";"SKU-0064";"20";"33.25";"0.000";"665.00";"227.22";"2620.72"
"ORD-11033";"2008-04-17 07:00:00";"delivered";"Jacek";"Myrcha";"jacek.myrcha@example.com";"Meat/Poultry";"Product BKGEA";"SKU-0053";"70";"32.80";"0.100";"2066.40";"84.74";"3317.54"
"ORD-11030";"2008-04-17 07:00:00";"delivered";"Tomás";"Navarro";"tomas.navarro@example.com";"Meat/Poultry";"Product VJXYN";"SKU-0029";"60";"123.79";"0.250";"5570.55";"830.75";"13445.80"
"ORD-11031";"2008-04-17 07:00:00";"delivered";"Tomás";"Navarro";"tomas.navarro@example.com";"Dairy Product";"Product MYMOI";"SKU-0071";"16";"21.50";"0.000";"344.00";"227.22";"2620.72"
"ORD-11030";"2008-04-17 07:00:00";"delivered";"Tomás";"Navarro";"tomas.navarro@example.com";"Condiments";"Product EPEIM";"SKU-0005";"70";"21.35";"0.000";"1494.50";"830.75";"13445.80"
"ORD-11030";"2008-04-17 07:00:00";"delivered";"Tomás";"Navarro";"tomas.navarro@example.com";"Beverages";"Product RECZE";"SKU-0002";"100";"19.00";"0.250";"1425.00";"830.75";"13445.80"
"ORD-11031";"2008-04-17 07:00:00";"delivered";"Tomás";"Navarro";"tomas.navarro@example.com";"Seafood";"Product POXFU";"SKU-0013";"80";"6.00";"0.000";"480.00";"227.22";"2620.72"
"ORD-11030";"2008-04-17 07:00:00";"delivered";"Tomás";"Navarro";"tomas.navarro@example.com";"Dairy Product";"Product UKXRI";"SKU-0059";"100";"55.00";"0.250";"4125.00";"830.75";"13445.80"
"ORD-11032";"2008-04-17 07:00:00";"delivered";"Ronaldo";"Smith Jr.";"ronaldo.smithjr@example.com";"Dairy Product";"Product UKXRI";"SKU-0059";"30";"55.00";"0.000";"1650.00";"606.19";"9508.69"
"ORD-11029";"2008-04-16 07:00:00";"delivered";"Jacek";"Jelitto";"jacek.jelitto@example.com";"Grains/Cereals";"Product VKCMF";"SKU-0056";"20";"38.00";"0.000";"760.00";"47.84";"1334.64"
"ORD-11027";"2008-04-16 07:00:00";"delivered";"Pilar Colome";"Bassols";"pilarcolome.bassols@example.com";"Beverages";"Product QOGNU";"SKU-0024";"30";"4.50";"0.250";"101.25";"52.52";"930.25"
"ORD-11028";"2008-04-16 07:00:00";"delivered";"Lolan";"Song";"lolan.song@example.com";"Meat/Poultry";"Product YYWRT";"SKU-0055";"35";"24.00";"0.000";"840.00";"29.59";"2189.59"
"ORD-11027";"2008-04-16 07:00:00";"delivered";"Pilar Colome";"Bassols";"pilarcolome.bassols@example.com";"Confections";"Product WUXYK";"SKU-0062";"21";"49.30";"0.250";"776.48";"52.52";"930.25"
"ORD-11028";"2008-04-16 07:00:00";"delivered";"Lolan";"Song";"lolan.song@example.com";"Dairy Product";"Product UKXRI";"SKU-0059";"24";"55.00";"0.000";"1320.00";"29.59";"2189.59"
"ORD-11029";"2008-04-16 07:00:00";"delivered";"Jacek";"Jelitto";"jacek.jelitto@example.com";"Condiments";"Product ICKNK";"SKU-0063";"12";"43.90";"0.000";"526.80";"47.84";"1334.64"
"ORD-11026";"2008-04-15 07:00:00";"delivered";"Martin";"Schmöllerl";"martin.schmollerl@example.com";"Seafood";"Product CKEDC";"SKU-0018";"8";"62.50";"0.000";"500.00";"47.09";"1077.09"
"ORD-11024";"2008-04-15 07:00:00";"delivered";"Randall";"Boseman";"randall.boseman@example.com";"Confections";"Product HLGZA";"SKU-0026";"12";"31.23";"0.000";"374.76";"74.36";"2041.17"
"ORD-11026";"2008-04-15 07:00:00";"delivered";"Martin";"Schmöllerl";"martin.schmollerl@example.com";"Produce";"Product APITJ";"SKU-0051";"10";"53.00";"0.000";"530.00";"47.09";"1077.09"
"ORD-11025";"2008-04-15 07:00:00";"delivered";"Michael";"Ludwig";"michael.ludwig@example.com";"Beverages";"Product HHYDP";"SKU-0001";"10";"18.00";"0.100";"162.00";"29.17";"299.17"
"ORD-11024";"2008-04-15 07:00:00";"delivered";"Randall";"Boseman";"randall.boseman@example.com";"Dairy Product";"Product MYMOI";"SKU-0071";"50";"21.50";"0.000";"1075.00";"74.36";"2041.17"
"ORD-11025";"2008-04-15 07:00:00";"delivered";"Michael";"Ludwig";"michael.ludwig@example.com";"Seafood";"Product POXFU";"SKU-0013";"20";"6.00";"0.100";"108.00";"29.17";"299.17"
"ORD-11024";"2008-04-15 07:00:00";"delivered";"Randall";"Boseman";"randall.boseman@example.com";"Condiments";"Product XYWBZ";"SKU-0065";"21";"21.05";"0.000";"442.05";"74.36";"2041.17"
"ORD-11024";"2008-04-15 07:00:00";"delivered";"Randall";"Boseman";"randall.boseman@example.com";"Dairy Product";"Product ASTMN";"SKU-0033";"30";"2.50";"0.000";"75.00";"74.36";"2041.17"
"ORD-11021";"2008-04-14 07:00:00";"delivered";"Giorgio";"Veronesi";"giorgio.veronesi@example.com";"Confections";"Product HLGZA";"SKU-0026";"63";"31.23";"0.000";"1967.49";"297.18";"6603.42"
"ORD-11021";"2008-04-14 07:00:00";"delivered";"Giorgio";"Veronesi";"giorgio.veronesi@example.com";"Produce";"Product APITJ";"SKU-0051";"44";"53.00";"0.250";"1749.00";"297.18";"6603.42"
"ORD-11020";"2008-04-14 07:00:00";"delivered";"Nadejda";"Marinova";"nadejda.marinova@example.com";"Seafood";"Product YHXGE";"SKU-0010";"24";"31.00";"0.150";"632.40";"43.30";"675.70"
